frame,t,x3d,y3d,z3d,vx,vy,vz,speed,ax,ay,az
0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03333333333333333,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.06666666666666667,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13333333333333333,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.16666666666666666,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.23333333333333334,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.26666666666666666,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.3333333333333333,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.36666666666666664,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.43333333333333335,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4666666666666667,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.5333333333333333,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.5666666666666667,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.6,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.6333333333333333,0.0,7.0,2.0,4.615384615384615,-0.7692307692307692,4.838038461538463,6.730535437807738,0.0,0.0,-9.81
20,0.6666666666666666,0.1538461538461538,6.9743589743589745,2.1558179487179485,4.615384615384615,-0.7692307692307692,4.511038461538463,6.49945837172142,0.0,0.0,-9.81
21,0.7,0.3076923076923076,6.948717948717949,2.300735897435897,4.615384615384615,-0.7692307692307692,4.184038461538463,6.276915561953458,0.0,0.0,-9.81
22,0.7333333333333333,0.4615384615384614,6.923076923076923,2.4347538461538463,4.615384615384615,-0.7692307692307692,3.8570384615384627,6.063846701397336,0.0,0.0,-9.81
23,0.7666666666666667,0.6153846153846158,6.897435897435898,2.557871794871795,4.615384615384615,-0.7692307692307692,3.530038461538462,5.861285069351361,0.0,0.0,-9.81
24,0.8,0.7692307692307695,6.871794871794871,2.670089743589744,4.615384615384615,-0.7692307692307692,3.203038461538462,5.670356823900506,0.0,0.0,-9.81
25,0.8333333333333334,0.9230769230769234,6.846153846153846,2.7714076923076925,4.615384615384615,-0.7692307692307692,2.876038461538462,5.492275335096455,0.0,0.0,-9.81
26,0.8666666666666667,1.076923076923077,6.82051282051282,2.861825641025641,4.615384615384615,-0.7692307692307692,2.549038461538462,5.328328837699746,0.0,0.0,-9.81
27,0.9,1.2307692307692308,6.794871794871795,2.94134358974359,4.615384615384615,-0.7692307692307692,2.222038461538462,5.179859655320457,0.0,0.0,-9.81
